k_folds,norm,eta,train loss,test loss,train loss,test loss,train loss,test loss,train loss,test loss
3,z_score,0.98,8,4,14,3,12,2,9,4
3,z_score,0.99,12,4,13,4,13,3,9,3
3,z_score,1,10,4,11,4,8,4,11,3
3,none,0.01,161,39,45,9,161,39,61,12
3,none,0.02,66,25,71,22,103,26,83,26
3,none,0.03,110,26,160,39,84,25,161,39
3,none,0.04,78,20,79,23,111,29,131,37
3,none,0.05,68,17,89,24,79,22,111,35
3,none,0.06,161,39,111,31,81,23,124,31
3,none,0.07,81,23,80,25,143,35,161,39
3,none,0.08,149,35,77,15,139,35,151,37
3,none,0.09,104,25,119,31,63,16,104,26
3,none,0.1,161,39,99,26,109,30,136,32
3,none,0.11,156,43,79,22,110,30,106,26
3,none,0.12,144,36,136,33,92,24,79,22
3,none,0.13,161,39,79,23,161,38,80,22
3,none,0.14,81,23,79,22,161,39,123,32
3,none,0.15,157,38,83,17,62,15,58,16
3,none,0.16,79,23,79,22,140,35,84,23
3,none,0.17,71,22,93,18,81,22,93,25
3,none,0.18,95,25,159,39,83,23,135,33
3,none,0.19,124,31,82,23,81,22,160,39
3,none,0.2,66,16,130,32,126,31,152,36
3,none,0.21,120,30,160,38,161,38,161,39
3,none,0.22,151,40,149,37,81,22,79,22
3,none,0.23,55,9,66,11,55,11,74,19
3,none,0.24,84,23,81,23,127,32,150,41
3,none,0.25,79,22,71,22,81,22,91,24
3,none,0.26,148,34,109,30,59,18,84,17
3,none,0.27,81,22,155,43,71,14,88,24
3,none,0.28,79,22,84,23,58,18,152,38
3,none,0.29,79,22,84,25,79,22,161,39
3,none,0.3,83,17,142,35,155,43,87,18
3,none,0.31,156,38,80,23,116,30,77,22
3,none,0.32,84,17,82,23,136,37,67,15
3,none,0.33,81,22,57,10,104,26,81,23
3,none,0.34,63,14,160,39,105,26,160,39
3,none,0.35,79,20,84,25,112,31,83,17
3,none,0.36,42,7,81,23,148,36,79,23
3,none,0.37,79,22,118,31,104,26,41,8
3,none,0.38,121,31,79,22,81,22,79,22
3,none,0.39,82,23,63,13,72,15,103,26
